"DateTime","National interstate migration"
"2013-09-30 00:00:00",347.5
"2013-12-31 00:00:00",360.1
"2014-03-31 00:00:00",362.9
"2014-06-30 00:00:00",357.7
"2014-09-30 00:00:00",350.7
"2014-12-31 00:00:00",344
"2015-03-31 00:00:00",337.9
"2015-06-30 00:00:00",344
"2015-09-30 00:00:00",350.3
"2015-12-31 00:00:00",355.3
"2016-03-31 00:00:00",362.8
"2016-06-30 00:00:00",371.9
"2016-09-30 00:00:00",385.6
"2016-12-31 00:00:00",411.2
"2017-03-31 00:00:00",425.3
"2017-06-30 00:00:00",435.4
"2017-09-30 00:00:00",443.4
"2017-12-31 00:00:00",447.2
"2018-03-31 00:00:00",452.1
"2018-06-30 00:00:00",456.4
"2018-09-30 00:00:00",458.4
"2018-12-31 00:00:00",464.8
"2019-03-31 00:00:00",469.9
"2019-06-30 00:00:00",476.2
"2019-09-30 00:00:00",479.9
"2019-12-31 00:00:00",476.4
"2020-03-31 00:00:00",450.6
"2020-06-30 00:00:00",420.8
"2020-09-30 00:00:00",380.2
"2020-12-31 00:00:00",338
"2021-03-31 00:00:00",332.3
"2021-06-30 00:00:00",365.5
"2021-09-30 00:00:00",464.5
"2021-12-31 00:00:00",493.2
"2022-03-31 00:00:00",509.3
"2022-06-30 00:00:00",483.8
"2022-09-30 00:00:00",396.3
"2022-12-31 00:00:00",388.1
"2023-03-31 00:00:00",379.3
"2023-06-30 00:00:00",372.1
"2023-09-30 00:00:00",379